,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
0,James Cameron,Joel David Moore,Action Adventure Fantasy Sci-Fi,CCH Pounder,Avatar,Wes Studi,James Cameron Joel David Moore CCH Pounder Action Adventure Fantasy Sci-Fi Wes Studi
1,Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End,Jack Davenport,Gore Verbinski Orlando Bloom Johnny Depp Action Adventure Fantasy Jack Davenport
2,Sam Mendes,Rory Kinnear,Action Adventure Thriller,Christoph Waltz,Spectre,Stephanie Sigman,Sam Mendes Rory Kinnear Christoph Waltz Action Adventure Thriller Stephanie Sigman
3,Christopher Nolan,Christian Bale,Action Thriller,Tom Hardy,The Dark Knight Rises,Joseph Gordon-Levitt,Christopher Nolan Christian Bale Tom Hardy Action Thriller Joseph Gordon-Levitt
5,Andrew Stanton,Samantha Morton,Action Adventure Sci-Fi,Daryl Sabara,John Carter,Polly Walker,Andrew Stanton Samantha Morton Daryl Sabara Action Adventure Sci-Fi Polly Walker
6,Sam Raimi,James Franco,Action Adventure Romance,J.K. Simmons,Spider-Man 3,Kirsten Dunst,Sam Raimi James Franco J.K. Simmons Action Adventure Romance Kirsten Dunst
7,Nathan Greno,Donna Murphy,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,Tangled,M.C. Gainey,Nathan Greno Donna Murphy Brad Garrett Adventure Animation Comedy Family Fantasy Musical Romance M.C. Gainey
8,Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,Avengers: Age of Ultron,Scarlett Johansson,Joss Whedon Robert Downey Jr. Chris Hemsworth Action Adventure Sci-Fi Scarlett Johansson
9,David Yates,Daniel Radcliffe,Adventure Family Fantasy Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince,Rupert Grint,David Yates Daniel Radcliffe Alan Rickman Adventure Family Fantasy Mystery Rupert Grint
10,Zack Snyder,Lauren Cohan,Action Adventure Sci-Fi,Henry Cavill,Batman v Superman: Dawn of Justice,Alan D. Purwin,Zack Snyder Lauren Cohan Henry Cavill Action Adventure Sci-Fi Alan D. Purwin
11,Bryan Singer,Marlon Brando,Action Adventure Sci-Fi,Kevin Spacey,Superman Returns,Frank Langella,Bryan Singer Marlon Brando Kevin Spacey Action Adventure Sci-Fi Frank Langella
12,Marc Forster,Mathieu Amalric,Action Adventure,Giancarlo Giannini,Quantum of Solace,Rory Kinnear,Marc Forster Mathieu Amalric Giancarlo Giannini Action Adventure Rory Kinnear
13,Gore Verbinski,Orlando Bloom,Action Adventure Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,Jack Davenport,Gore Verbinski Orlando Bloom Johnny Depp Action Adventure Fantasy Jack Davenport
14,Gore Verbinski,Ruth Wilson,Action Adventure Western,Johnny Depp,The Lone Ranger,Tom Wilkinson,Gore Verbinski Ruth Wilson Johnny Depp Action Adventure Western Tom Wilkinson
15,Zack Snyder,Christopher Meloni,Action Adventure Fantasy Sci-Fi,Henry Cavill,Man of Steel,Harry Lennix,Zack Snyder Christopher Meloni Henry Cavill Action Adventure Fantasy Sci-Fi Harry Lennix
16,Andrew Adamson,Pierfrancesco Favino,Action Adventure Family Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian,Damián Alcázar,Andrew Adamson Pierfrancesco Favino Peter Dinklage Action Adventure Family Fantasy Damián Alcázar
17,Joss Whedon,Robert Downey Jr.,Action Adventure Sci-Fi,Chris Hemsworth,The Avengers,Scarlett Johansson,Joss Whedon Robert Downey Jr. Chris Hemsworth Action Adventure Sci-Fi Scarlett Johansson
18,Rob Marshall,Sam Claflin,Action Adventure Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides,Stephen Graham,Rob Marshall Sam Claflin Johnny Depp Action Adventure Fantasy Stephen Graham
19,Barry Sonnenfeld,Michael Stuhlbarg,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,Men in Black 3,Nicole Scherzinger,Barry Sonnenfeld Michael Stuhlbarg Will Smith Action Adventure Comedy Family Fantasy Sci-Fi Nicole Scherzinger
20,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies,James Nesbitt,Peter Jackson Adam Brown Aidan Turner Adventure Fantasy James Nesbitt
21,Marc Webb,Andrew Garfield,Action Adventure Fantasy,Emma Stone,The Amazing Spider-Man,Chris Zylka,Marc Webb Andrew Garfield Emma Stone Action Adventure Fantasy Chris Zylka
22,Ridley Scott,William Hurt,Action Adventure Drama History,Mark Addy,Robin Hood,Scott Grimes,Ridley Scott William Hurt Mark Addy Action Adventure Drama History Scott Grimes
23,Peter Jackson,Adam Brown,Adventure Fantasy,Aidan Turner,The Hobbit: The Desolation of Smaug,James Nesbitt,Peter Jackson Adam Brown Aidan Turner Adventure Fantasy James Nesbitt
24,Chris Weitz,Eva Green,Adventure Family Fantasy,Christopher Lee,The Golden Compass,Kristin Scott Thomas,Chris Weitz Eva Green Christopher Lee Adventure Family Fantasy Kristin Scott Thomas
25,Peter Jackson,Thomas Kretschmann,Action Adventure Drama Romance,Naomi Watts,King Kong,Evan Parke,Peter Jackson Thomas Kretschmann Naomi Watts Action Adventure Drama Romance Evan Parke
26,James Cameron,Kate Winslet,Drama Romance,Leonardo DiCaprio,Titanic,Gloria Stuart,James Cameron Kate Winslet Leonardo DiCaprio Drama Romance Gloria Stuart
27,Anthony Russo,Scarlett Johansson,Action Adventure Sci-Fi,Robert Downey Jr.,Captain America: Civil War,Chris Evans,Anthony Russo Scarlett Johansson Robert Downey Jr. Action Adventure Sci-Fi Chris Evans
28,Peter Berg,Alexander Skarsgård,Action Adventure Sci-Fi Thriller,Liam Neeson,Battleship,Tadanobu Asano,Peter Berg Alexander Skarsgård Liam Neeson Action Adventure Sci-Fi Thriller Tadanobu Asano
29,Colin Trevorrow,Judy Greer,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,Jurassic World,Omar Sy,Colin Trevorrow Judy Greer Bryce Dallas Howard Action Adventure Sci-Fi Thriller Omar Sy
30,Sam Mendes,Helen McCrory,Action Adventure Thriller,Albert Finney,Skyfall,Rory Kinnear,Sam Mendes Helen McCrory Albert Finney Action Adventure Thriller Rory Kinnear
31,Sam Raimi,James Franco,Action Adventure Fantasy Romance,J.K. Simmons,Spider-Man 2,Kirsten Dunst,Sam Raimi James Franco J.K. Simmons Action Adventure Fantasy Romance Kirsten Dunst
32,Shane Black,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Iron Man 3,Don Cheadle,Shane Black Jon Favreau Robert Downey Jr. Action Adventure Sci-Fi Don Cheadle
33,Tim Burton,Alan Rickman,Adventure Family Fantasy,Johnny Depp,Alice in Wonderland,Anne Hathaway,Tim Burton Alan Rickman Johnny Depp Adventure Family Fantasy Anne Hathaway
34,Brett Ratner,Kelsey Grammer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,X-Men: The Last Stand,Daniel Cudmore,Brett Ratner Kelsey Grammer Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller Daniel Cudmore
35,Dan Scanlon,Tyler Labine,Adventure Animation Comedy Family Fantasy,Steve Buscemi,Monsters University,Sean Hayes,Dan Scanlon Tyler Labine Steve Buscemi Adventure Animation Comedy Family Fantasy Sean Hayes
36,Michael Bay,Kevin Dunn,Action Adventure Sci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen,Ramon Rodriguez,Michael Bay Kevin Dunn Glenn Morshower Action Adventure Sci-Fi Ramon Rodriguez
37,Michael Bay,Sophia Myles,Action Adventure Sci-Fi,Bingbing Li,Transformers: Age of Extinction,Kelsey Grammer,Michael Bay Sophia Myles Bingbing Li Action Adventure Sci-Fi Kelsey Grammer
38,Sam Raimi,Mila Kunis,Adventure Family Fantasy,Tim Holmes,Oz the Great and Powerful,James Franco,Sam Raimi Mila Kunis Tim Holmes Adventure Family Fantasy James Franco
39,Marc Webb,Andrew Garfield,Action Adventure Fantasy Sci-Fi,Emma Stone,The Amazing Spider-Man 2,B.J. Novak,Marc Webb Andrew Garfield Emma Stone Action Adventure Fantasy Sci-Fi B.J. Novak
40,Joseph Kosinski,Olivia Wilde,Action Adventure Sci-Fi,Jeff Bridges,TRON: Legacy,James Frain,Joseph Kosinski Olivia Wilde Jeff Bridges Action Adventure Sci-Fi James Frain
